Training: 2025-04-15 11:39:35,715-Speed 62.70 samples/sec   Loss 14.0052   LearningRate 0.000999   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 32768   Required: 169 hours
Training: 2025-04-15 11:39:56,014-Speed 63.06 samples/sec   Loss 13.4865   LearningRate 0.000999   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 32768   Required: 168 hours
Training: 2025-04-15 11:40:16,327-Speed 63.02 samples/sec   Loss 12.2814   LearningRate 0.000999   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 32768   Required: 168 hours
Training: 2025-04-15 11:40:36,677-Speed 62.90 samples/sec   Loss 10.2898   LearningRate 0.000999   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 32768   Required: 167 hours
Training: 2025-04-15 11:40:57,002-Speed 62.98 samples/sec   Loss 9.4454   LearningRate 0.000999   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 32768   Required: 167 hours
Training: 2025-04-15 11:41:17,421-Speed 62.69 samples/sec   Loss 9.1789   LearningRate 0.000999   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 65536   Required: 167 hours
Training: 2025-04-15 11:41:37,713-Speed 63.08 samples/sec   Loss 8.1314   LearningRate 0.000999   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 65536   Required: 167 hours
Training: 2025-04-15 11:41:58,084-Speed 62.84 samples/sec   Loss 7.9329   LearningRate 0.000999   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 65536   Required: 166 hours
Training: 2025-04-15 11:42:18,448-Speed 62.86 samples/sec   Loss 7.1112   LearningRate 0.000999   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 65536   Required: 166 hours
Training: 2025-04-15 11:42:38,831-Speed 62.80 samples/sec   Loss 5.9637   LearningRate 0.000999   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 65536   Required: 166 hours
Training: 2025-04-15 11:42:59,218-Speed 62.79 samples/sec   Loss 5.8005   LearningRate 0.000999   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 65536   Required: 166 hours
Training: 2025-04-15 11:43:19,547-Speed 62.97 samples/sec   Loss 5.2949   LearningRate 0.000999   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 65536   Required: 166 hours
Training: 2025-04-15 11:43:39,902-Speed 62.88 samples/sec   Loss 5.2891   LearningRate 0.000999   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:44:00,321-Speed 62.69 samples/sec   Loss 5.2179   LearningRate 0.000999   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:44:22,836-Speed 56.85 samples/sec   Loss 4.5820   LearningRate 0.000999   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 65536   Required: 166 hours
Training: 2025-04-15 11:44:43,325-Speed 62.48 samples/sec   Loss 4.2977   LearningRate 0.000999   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 65536   Required: 166 hours
Training: 2025-04-15 11:45:03,997-Speed 61.92 samples/sec   Loss 4.1290   LearningRate 0.000999   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:45:24,538-Speed 62.32 samples/sec   Loss 4.1216   LearningRate 0.000999   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:45:44,863-Speed 62.98 samples/sec   Loss 4.1598   LearningRate 0.000999   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:46:05,159-Speed 63.07 samples/sec   Loss 3.6265   LearningRate 0.000999   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:46:25,642-Speed 62.49 samples/sec   Loss 3.7302   LearningRate 0.000999   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:46:46,005-Speed 62.86 samples/sec   Loss 3.2075   LearningRate 0.000999   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:47:06,526-Speed 62.38 samples/sec   Loss 3.5261   LearningRate 0.000999   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 11:47:26,837-Speed 63.02 samples/sec   Loss 3.1782   LearningRate 0.000999   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 32768   Required: 165 hours
