Training: 2025-04-09 12:55:32,226-Speed 35.97 samples/sec   Loss 10.0683   LearningRate 0.000999   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 131072   Required: 290 hours
Training: 2025-04-09 12:56:08,699-Speed 35.80 samples/sec   Loss 9.4678   LearningRate 0.000999   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 131072   Required: 291 hours
Training: 2025-04-09 12:56:47,326-Speed 33.14 samples/sec   Loss 7.9608   LearningRate 0.000999   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 262144   Required: 291 hours
Training: 2025-04-09 12:57:24,485-Speed 34.45 samples/sec   Loss 7.6346   LearningRate 0.000999   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 262144   Required: 291 hours
Training: 2025-04-09 12:58:00,632-Speed 35.41 samples/sec   Loss 6.8364   LearningRate 0.000999   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 262144   Required: 291 hours
Training: 2025-04-09 12:58:35,700-Speed 36.50 samples/sec   Loss 7.0266   LearningRate 0.000999   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 262144   Required: 291 hours
Training: 2025-04-09 12:59:12,572-Speed 34.72 samples/sec   Loss 5.7096   LearningRate 0.000999   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 262144   Required: 291 hours
Training: 2025-04-09 12:59:47,443-Speed 36.71 samples/sec   Loss 5.3495   LearningRate 0.000999   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 262144   Required: 290 hours
Training: 2025-04-09 13:00:22,521-Speed 36.49 samples/sec   Loss 4.9135   LearningRate 0.000999   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 262144   Required: 289 hours
Training: 2025-04-09 13:00:57,280-Speed 36.83 samples/sec   Loss 4.9091   LearningRate 0.000999   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 262144   Required: 289 hours
Training: 2025-04-09 13:01:32,461-Speed 36.38 samples/sec   Loss 4.8282   LearningRate 0.000999   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 262144   Required: 288 hours
Training: 2025-04-09 13:02:07,406-Speed 36.63 samples/sec   Loss 4.4488   LearningRate 0.000999   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 262144   Required: 288 hours
Training: 2025-04-09 13:02:44,291-Speed 34.70 samples/sec   Loss 4.1956   LearningRate 0.000999   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 524288   Required: 288 hours
Training: 2025-04-09 13:03:20,611-Speed 35.24 samples/sec   Loss 3.9386   LearningRate 0.000999   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 262144   Required: 288 hours
Training: 2025-04-09 13:03:56,311-Speed 35.86 samples/sec   Loss 4.0948   LearningRate 0.000999   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 262144   Required: 288 hours
Training: 2025-04-09 13:04:31,360-Speed 36.52 samples/sec   Loss 3.4015   LearningRate 0.000999   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 262144   Required: 288 hours
Training: 2025-04-09 13:05:05,070-Speed 37.97 samples/sec   Loss 3.4828   LearningRate 0.000999   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 262144   Required: 287 hours
Training: 2025-04-09 13:05:41,044-Speed 35.58 samples/sec   Loss 3.5116   LearningRate 0.000999   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 262144   Required: 287 hours
Training: 2025-04-09 13:06:15,709-Speed 36.93 samples/sec   Loss 3.1857   LearningRate 0.000999   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 262144   Required: 287 hours
Training: 2025-04-09 13:06:54,201-Speed 33.25 samples/sec   Loss 3.4671   LearningRate 0.000999   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 262144   Required: 287 hours
Training: 2025-04-09 13:07:28,440-Speed 37.39 samples/sec   Loss 2.8754   LearningRate 0.000999   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 262144   Required: 287 hours
