Training: 2025-04-09 12:57:32,564-Speed 34.26 samples/sec   Loss 10.0546   LearningRate 0.000999   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 32768   Required: 295 hours
Training: 2025-04-09 12:58:09,707-Speed 34.46 samples/sec   Loss 10.2920   LearningRate 0.000999   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 32768   Required: 295 hours
Training: 2025-04-09 12:58:46,321-Speed 34.96 samples/sec   Loss 8.9468   LearningRate 0.000999   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 32768   Required: 294 hours
Training: 2025-04-09 12:59:21,919-Speed 35.96 samples/sec   Loss 7.8441   LearningRate 0.000999   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 32768   Required: 294 hours
Training: 2025-04-09 12:59:57,797-Speed 35.68 samples/sec   Loss 7.4159   LearningRate 0.000999   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 32768   Required: 293 hours
Training: 2025-04-09 13:00:34,649-Speed 34.73 samples/sec   Loss 6.7571   LearningRate 0.000999   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 65536   Required: 293 hours
Training: 2025-04-09 13:01:09,285-Speed 36.96 samples/sec   Loss 6.1682   LearningRate 0.000999   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 32768   Required: 292 hours
Training: 2025-04-09 13:01:45,214-Speed 35.63 samples/sec   Loss 5.9840   LearningRate 0.000999   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 32768   Required: 292 hours
Training: 2025-04-09 13:02:23,143-Speed 33.75 samples/sec   Loss 5.4863   LearningRate 0.000999   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 32768   Required: 292 hours
Training: 2025-04-09 13:02:58,740-Speed 35.96 samples/sec   Loss 4.9095   LearningRate 0.000999   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 32768   Required: 292 hours
Training: 2025-04-09 13:03:35,317-Speed 35.00 samples/sec   Loss 4.9930   LearningRate 0.000999   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 32768   Required: 292 hours
Training: 2025-04-09 13:04:11,602-Speed 35.28 samples/sec   Loss 4.4077   LearningRate 0.000999   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 32768   Required: 292 hours
Training: 2025-04-09 13:04:47,504-Speed 35.65 samples/sec   Loss 4.0741   LearningRate 0.000999   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 32768   Required: 292 hours
Training: 2025-04-09 13:05:23,309-Speed 35.75 samples/sec   Loss 4.1513   LearningRate 0.000999   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 32768   Required: 291 hours
Training: 2025-04-09 13:05:58,519-Speed 36.35 samples/sec   Loss 3.9841   LearningRate 0.000999   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 32768   Required: 291 hours
Training: 2025-04-09 13:06:34,398-Speed 35.68 samples/sec   Loss 3.3877   LearningRate 0.000999   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 32768   Required: 290 hours
Training: 2025-04-09 13:07:11,965-Speed 34.07 samples/sec   Loss 3.5858   LearningRate 0.000999   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 65536   Required: 291 hours
Training: 2025-04-09 13:07:45,975-Speed 37.64 samples/sec   Loss 3.3574   LearningRate 0.000999   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 65536   Required: 290 hours
Training: 2025-04-09 13:08:19,597-Speed 38.07 samples/sec   Loss 3.3158   LearningRate 0.000999   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 65536   Required: 289 hours
Training: 2025-04-09 13:08:53,526-Speed 37.73 samples/sec   Loss 2.9511   LearningRate 0.000999   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 65536   Required: 289 hours
Training: 2025-04-09 13:09:28,083-Speed 37.04 samples/sec   Loss 2.8305   LearningRate 0.000999   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 65536   Required: 288 hours
Training: 2025-04-09 13:10:01,606-Speed 38.18 samples/sec   Loss 2.6519   LearningRate 0.000999   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 65536   Required: 288 hours
Training: 2025-04-09 13:10:34,636-Speed 38.75 samples/sec   Loss 3.0566   LearningRate 0.000999   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 65536   Required: 287 hours
