Training: 2025-04-02 12:18:15,304-Speed 89.30 samples/sec   Loss 39.7996   LearningRate 0.000999   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 8192   Required: 126 hours
Training: 2025-04-02 12:18:29,725-Speed 88.76 samples/sec   Loss 39.7895   LearningRate 0.000999   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 8192   Required: 125 hours
Training: 2025-04-02 12:18:44,185-Speed 88.52 samples/sec   Loss 39.6417   LearningRate 0.000999   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 8192   Required: 124 hours
Training: 2025-04-02 12:18:58,588-Speed 88.87 samples/sec   Loss 39.6676   LearningRate 0.000999   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 16384   Required: 124 hours
Training: 2025-04-02 12:19:13,066-Speed 88.42 samples/sec   Loss 39.0803   LearningRate 0.000999   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 16384   Required: 124 hours
Training: 2025-04-02 12:19:27,443-Speed 89.03 samples/sec   Loss 39.2856   LearningRate 0.000999   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 16384   Required: 123 hours
Training: 2025-04-02 12:19:41,684-Speed 89.89 samples/sec   Loss 39.2234   LearningRate 0.000999   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 16384   Required: 123 hours
Training: 2025-04-02 12:19:56,035-Speed 89.20 samples/sec   Loss 39.2333   LearningRate 0.000999   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 16384   Required: 122 hours
Training: 2025-04-02 12:20:10,401-Speed 89.10 samples/sec   Loss 38.9700   LearningRate 0.000999   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 16384   Required: 122 hours
Training: 2025-04-02 12:20:24,776-Speed 89.05 samples/sec   Loss 38.8960   LearningRate 0.000999   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 16384   Required: 122 hours
Training: 2025-04-02 12:20:39,160-Speed 88.99 samples/sec   Loss 38.6798   LearningRate 0.000999   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 16384   Required: 121 hours
Training: 2025-04-02 12:20:53,478-Speed 89.40 samples/sec   Loss 38.0553   LearningRate 0.000999   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 16384   Required: 121 hours
Training: 2025-04-02 12:21:07,809-Speed 89.32 samples/sec   Loss 38.2354   LearningRate 0.000999   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 16384   Required: 121 hours
Training: 2025-04-02 12:21:22,336-Speed 88.11 samples/sec   Loss 37.9961   LearningRate 0.000999   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 32768   Required: 121 hours
Training: 2025-04-02 12:21:36,562-Speed 89.98 samples/sec   Loss 37.6279   LearningRate 0.000999   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 32768   Required: 120 hours
Training: 2025-04-02 12:21:51,068-Speed 88.24 samples/sec   Loss 37.7960   LearningRate 0.000999   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 32768   Required: 120 hours
