Training: 2025-04-02 12:18:12,048-Speed 63.30 samples/sec   Loss 24.4869   LearningRate 0.000999   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-02 12:18:32,266-Speed 63.31 samples/sec   Loss 22.9494   LearningRate 0.000999   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 32768   Required: 165 hours
Training: 2025-04-02 12:18:52,497-Speed 63.27 samples/sec   Loss 20.8978   LearningRate 0.000999   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-02 12:19:12,726-Speed 63.28 samples/sec   Loss 19.3987   LearningRate 0.000999   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 32768   Required: 164 hours
Training: 2025-04-02 12:19:34,788-Speed 58.02 samples/sec   Loss 18.3014   LearningRate 0.000999   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-02 12:19:55,003-Speed 63.32 samples/sec   Loss 17.4462   LearningRate 0.000999   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-02 12:20:15,141-Speed 63.56 samples/sec   Loss 15.8642   LearningRate 0.000999   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-02 12:20:35,408-Speed 63.16 samples/sec   Loss 14.6950   LearningRate 0.000999   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-02 12:20:55,664-Speed 63.19 samples/sec   Loss 13.6112   LearningRate 0.000999   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-02 12:21:15,867-Speed 63.36 samples/sec   Loss 12.8172   LearningRate 0.000999   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-02 12:21:36,140-Speed 63.14 samples/sec   Loss 12.2478   LearningRate 0.000999   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-02 12:21:56,358-Speed 63.31 samples/sec   Loss 10.9225   LearningRate 0.000999   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 65536   Required: 163 hours
Training: 2025-04-02 12:22:16,556-Speed 63.37 samples/sec   Loss 10.5570   LearningRate 0.000999   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 65536   Required: 163 hours
Training: 2025-04-02 12:22:36,758-Speed 63.36 samples/sec   Loss 9.7901   LearningRate 0.000999   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 65536   Required: 163 hours
Training: 2025-04-02 12:22:56,955-Speed 63.38 samples/sec   Loss 9.3708   LearningRate 0.000999   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 131072   Required: 163 hours
Training: 2025-04-02 12:23:17,175-Speed 63.31 samples/sec   Loss 9.4650   LearningRate 0.000999   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 131072   Required: 163 hours
Training: 2025-04-02 12:23:37,539-Speed 62.86 samples/sec   Loss 8.2156   LearningRate 0.000999   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 131072   Required: 163 hours
Training: 2025-04-02 12:23:57,799-Speed 63.18 samples/sec   Loss 8.0401   LearningRate 0.000999   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 131072   Required: 163 hours
Training: 2025-04-02 12:24:18,052-Speed 63.20 samples/sec   Loss 7.0017   LearningRate 0.000999   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 131072   Required: 163 hours
Training: 2025-04-02 12:24:40,557-Speed 56.88 samples/sec   Loss 6.8286   LearningRate 0.000999   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 131072   Required: 163 hours
Training: 2025-04-02 12:25:00,815-Speed 63.19 samples/sec   Loss 6.5114   LearningRate 0.000999   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 131072   Required: 163 hours
Training: 2025-04-02 12:25:21,062-Speed 63.22 samples/sec   Loss 6.4693   LearningRate 0.000999   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 131072   Required: 163 hours
Training: 2025-04-02 12:25:41,366-Speed 63.04 samples/sec   Loss 5.9117   LearningRate 0.000999   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 131072   Required: 163 hours
